crash_numb,crash_datetime,crash_date_text,crash_time,severity,max_injury,fatal_injuries,nonfatal_injuries,street,cross_street,non_motorist_type,weather,light,lon,lat
5244679,2023-03-10 23:40:00,03 10 2023,7:40 PM,Non-fatal injury,Suspected Minor Injury (B),0,1, Columbia Rd Rte W  / Brinsley St Rte S  / Columbia Rd Rte S,, VU2: Bicyclist,Clear,Dark - lighted roadway,-71.07825893982587,42.30604925006915
5244257,2023-03-31 17:12:00,03 31 2023,1:12 PM,Non-fatal injury,Suspected Minor Injury (B),0,1, DORCHESTER AVENUE,, VU2: Bicyclist,Clear,Daylight,-71.06454900991342,42.284837239434744
5244215,2023-03-31 19:30:00,03 31 2023,3:30 PM,Property damage only (none injured),No Apparent Injury (O),0,0, AMORY STREET / COMMONWEALTH AVENUE Rte US20 E,, VU2: Bicyclist,Not Reported,Daylight,-71.11378492787351,42.35078820551735
5244204,2023-03-09 23:22:00,03 09 2023,7:22 PM,Non-fatal injury,Suspected Minor Injury (B),0,1, MA-28 Rte 28 S  / Wellington St Rte E  / Wellington St Rte 0 E,, VU5: Bicyclist,Clear,Dark - lighted roadway,-71.0811438777047,42.34115655838142
5245485,2023-04-20 16:18:00,04 20 2023,12:18 PM,Non-fatal injury,Suspected Serious Injury (A),0,1, Beacon St Rte SR2A S  / Beacon St Rte 10 S,, VU2: Bicyclist,Clear,Daylight,-71.08949834107659,42.350865228861906
5247598,2023-04-24 22:35:00,04 24 2023,6:35 PM,Non-fatal injury,Possible Injury (C),0,2, DALE STREET / PAULDING STREET,, VU5: Bicyclist / VU6: Bicyclist,Clear,Daylight,-71.08666033857767,42.32169994850665
5257348,2023-05-19 19:26:00,05 19 2023,3:26 PM,Non-fatal injury,Suspected Serious Injury (A),0,1, WILLIAM T MORRISSEY BOULEVARD, FREEPORT STREET, VU2: Bicyclist,Clear,Daylight,-71.04800513091567,42.29263727110708
5261682,2023-06-01 19:00:00,06 01 2023,3:00 PM,Non-fatal injury,Suspected Minor Injury (B),0,1, PERKINS STREET, CHESTNUT STREET, VU2: Bicyclist,Not Reported,Daylight,-71.11911814669683,42.32137957152787
5262129,2023-05-31 23:28:00,05 31 2023,7:28 PM,Property damage only (none injured),No Apparent Injury (O),0,0, CHARLES CIRCLE Rte UNKNOW,, VU2: Bicyclist,Not Reported,Daylight,-71.07044823914595,42.36135856901387
5268027,2023-06-18 18:40:00,06 18 2023,2:40 PM,Non-fatal injury,Suspected Minor Injury (B),0,1, SOLDIERS FIELD ROAD, WESTERN AVENUE, VU2: Bicyclist,Clear,Daylight,-71.14619691159476,42.361539666381674
