globalid,CreationDate,Creator,EditDate,Editor,date_and_time,your_mode_of_transportation,mode_other,request,request_other,additional_comments,shape_wkt,POINT_X,POINT_Y
{FE01DDF7-7F54-48D5-BB3D-2336BCF4AC2E},6/14/2022 19:39:23.797,,6/14/2022 19:39:23.797,,6/14/2022 19:38:00.000,walks,,speeding,,,POINT (-71.088253122999959 42.322298380000063),-71.088253122999959,42.322298380000063
{B6C24352-3D02-4632-BEB8-71723BB9FD63},6/15/2022 22:05:31.837,,6/15/2022 22:05:31.837,,6/15/2022 22:03:00.000,walks,,runlightssigns,,"During rush hour, eastbound traffic on Herald do not stop clear the intersection before the pedestrian signal allows pedestrians to cross.  Often cars will enter the intersection when there it is clear they will not make it through the intersection before the signal changes.",POINT (-71.063180441999975 42.346246486000041),-71.063180441999975,42.346246486000041
{5D780D29-9DDE-46B4-8D59-42861AA4533B},6/15/2022 22:07:40.199,,6/15/2022 22:07:40.199,,6/15/2022 22:06:00.000,walks,,yieldgoing,,Traffic on Day Blvd does not consistently yield to pedestrians attempting to cross at a marked crosswalk.,POINT (-71.046808238999972 42.32894579200007),-71.046808238999972,42.328945792000070
{18655C33-07F9-4F27-8CD5-4A2B142215D3},6/23/2022 14:31:12.307,168240_boston,6/23/2022 14:31:12.307,168240_boston,6/23/2022 14:30:00.000,drives,,yieldgoing,,Trying to turn left to the highway when leaving North End is incredibly dangerous for vehicles,POINT (-71.058379287999969 42.364719622000052),-71.058379287999969,42.364719622000052
{2176DD81-CE33-4FBA-AADF-3466D2A7834D},6/27/2022 20:11:07.529,,6/27/2022 20:11:07.529,,6/27/2022 20:09:00.000,drives,,other,The traffic pattern was changed but the “right lane must turn right sign” was not removed. ,,POINT (-71.098068836999971 42.315684731000033),-71.098068836999971,42.315684731000033
{5E464DB7-6E31-414B-9EF8-177E19F439B4},6/28/2022 16:20:32.216,,6/28/2022 16:20:32.216,,6/28/2022 16:17:00.000,bikes,,yieldturn,,Drivers turning right from South Street onto Arborway have a green light while people biking travelling across Arborway also have a green bike light. Drivers do not yield to the people on bikes or people walking. I have almost been hit 3 separate times at this intersection.,POINT (-71.114278096999954 42.301582978000056),-71.114278096999954,42.301582978000056
{23CFFDE5-4286-4EAF-AD12-19CAB837EF80},6/28/2022 16:24:11.515,,6/28/2022 16:24:11.515,,6/28/2022 16:20:00.000,bikes,,speeding,,Car drivers speed on this section of South Street and tailgate me when I ride my bike. Traffic calming measures are needed to prevent this neighborhood street from being used as a highway. Could speed humps or cushions be added to this stretch?,POINT (-71.124962344999972 42.290603927000063),-71.124962344999972,42.290603927000063
{D589E0F3-9B8D-4081-9C91-FA9E423378E4},6/28/2022 16:27:02.804,,6/28/2022 16:27:02.804,,6/28/2022 16:24:00.000,bikes,,bikefacility,,"The painted bike lane is often partially blocked by parked cars. The risk of  being car doored and fast moving traffic make this painted bike lane insufficient and stressful. Ideally, the bike lane would be protected, especially in this stretch. ",POINT (-71.127732274999971 42.287017911000078),-71.127732274999971,42.287017911000078
{9D0D4FD7-B6FB-48EC-89A6-E3076915F23E},6/28/2022 16:30:51.452,,6/28/2022 16:30:51.452,,6/28/2022 16:28:00.000,walks,,sidewalk,,"Car drivers do not yield at this crosswalk to people walking or biking. A raised crosswalk is needed to slow traffic so that the large volume of people crossing (on foot, bike, and scooter) are more visible to car drivers.",POINT (-71.092786670999942 42.333321314000045),-71.092786670999942,42.333321314000045
{5E7C69AD-AF5A-4745-948C-76F0D57A75DE},6/28/2022 16:35:09.813,,6/28/2022 16:35:09.813,,6/28/2022 16:31:00.000,bikes,,bikefacility,,"The construction company has failed to provide a temporary safe place for people to bike. People walking are directed to the former bike lane, and people biking need to compete with car traffic on Columbus. I use this intersection several times each week and feel very unsafe while doing so.",POINT (-71.081519589999971 42.340654751000045),-71.081519589999971,42.340654751000045
{9C94ACEF-5E12-4B46-B5D8-2C91B9114442},6/28/2022 16:37:29.833,,6/28/2022 16:37:29.833,,6/28/2022 16:35:00.000,bikes,,roadwaymaint,,"The painted bicycle lane is filled with pot holes. It is unsafe to bike here due to people in parked cars opening their doors without looking, the uneven surface, and car traffic speeding.",POINT (-71.079883452999979 42.342066154000065),-71.079883452999979,42.342066154000065
{03AE8357-A922-4711-809D-C561A6A41C7F},7/3/2022 19:17:23.665,,7/3/2022 19:17:23.665,,7/3/2022 19:15:00.000,walks,,notenoughtime,,There are many walkers here and they are given only 20 seconds to cross a busy/wide intersection.,POINT (-71.153411611999957 42.349086043000057),-71.153411611999957,42.349086043000057
{050DEFCD-CA58-4DF6-BBE8-CA308B33B979},7/3/2022 19:25:24.692,,7/3/2022 19:25:24.692,,7/3/2022 19:23:00.000,walks,,speeding,,"People speed and use this road as a cut through, despite it being a narrow residential street with many pedestrians.",POINT (-71.153506687999936 42.351187993000053),-71.153506687999936,42.351187993000053
{EB25185D-C385-4E34-8A98-2A6E3E0521CF},7/7/2022 14:32:50.931,,7/7/2022 14:32:50.931,,7/7/2022 14:30:00.000,drives,,other,Illegal cut thru,This is a dangerous area... today while waiting at the red light 9 (yes 9) cars cut though the bus lane and cut thru the Mobile Station.,POINT (-71.098143036999943 42.316398028000037),-71.098143036999943,42.316398028000037
{FB49BAFD-123D-4896-BA20-2C2F82662463},7/7/2022 14:42:57.994,,7/7/2022 14:42:57.994,,7/7/2022 14:40:00.000,drives,,visibility,,Dangerous intersection.  1. the lines need to be repainted. they are completely gone. 2. cars try to make this 2 through lanes instead of a right lane must turn right lane...  after the intersection the road narrows and is not really wide enough for through traffic.,POINT (-71.095855112999971 42.331653429000028),-71.095855112999971,42.331653429000028
{1CE894FB-AF07-45E9-868D-95C74A978A65},7/25/2022 15:53:49.993,,7/25/2022 15:53:49.993,,7/25/2022 15:51:00.000,walks,,yieldgoing,,"this intersection has been a problem for years. When my kids were little, cars would speed right by me while I had the kids in the stroller in crosswalk. ",POINT (-71.128672968999979 42.286900352000032),-71.128672968999979,42.286900352000032
{F2BADAC2-DF20-407A-AE8B-E53C8985EFE9},7/25/2022 15:54:53.221,,7/25/2022 15:54:53.221,,7/25/2022 15:54:00.000,walks,,walksignal,,,POINT (-71.128134700999965 42.286457448000078),-71.128134700999965,42.286457448000078
{D6545E3D-AAE7-46D8-8E22-103353A9BDA5},7/25/2022 16:00:48.415,,7/25/2022 16:00:48.415,,7/25/2022 15:55:00.000,drives,,speeding,,"Cars are always backed up on northbound Washington Street. Because of the way the lights work (don’t work) in Roslindale village, northbound cars are so annoyed by the long wait between Metropolitan Ave. and Poplar, that once they get through this light they speed in hopes of beating the light at Cummins. ",POINT (-71.128959640999938 42.285686431000045),-71.128959640999938,42.285686431000045
{E9552C0E-9C2B-44CA-9058-D0F5735582CA},7/25/2022 16:04:16.495,,7/25/2022 16:04:16.495,,7/25/2022 16:01:00.000,walks,,runlightssigns,,"Same problem all over Roslindale Village — this very walkable neighborhood is in really extremely dangerous but the cars speed through, ignoring crosswalks and lights. If the lights were replaced with stop signs, and flashing lights at the crosswalks, it might help. ",POINT (-71.129627395999933 42.28722988100003),-71.129627395999933,42.287229881000030
{A1C0374E-B5A7-42A6-9DD1-1A0F80C9CE0B},7/25/2022 16:07:11.697,,7/25/2022 16:07:11.697,,7/25/2022 16:05:00.000,bikes,,roadwaymaint,,This whole intersection is full of holes and bumpy service making it very hard to turn from Walk Hill onto the American Legion bike lanes .,POINT (-71.106800979999946 42.287753389000045),-71.106800979999946,42.287753389000045
{023E2B72-45DC-48E7-B696-45D687BBAD96},7/25/2022 16:09:28.075,,7/25/2022 16:09:28.075,,7/25/2022 16:07:00.000,walks,,yieldgoing,,there’s a crosswalk here but cars never stop. On a bike I wait here as well as when walking and I’ve never had a car stop for me. This crosswalk could use a human activated blinking light to allow people to cross over to visit the Mass Audubon Boston Nature Center,POINT (-71.104212700999938 42.285773679000044),-71.104212700999938,42.285773679000044
{FA6490FC-1E99-4C0A-8B81-BF101DFBCC50},7/26/2022 16:21:09.201,,7/26/2022 16:21:09.201,,7/26/2022 16:17:00.000,drives,,visibility,,People ignore the ""no parking here to intersection"" sign at the corner of East 1st Street and Acadia Street. When cars park on the corner it entirely obstructs the vision of vehicles pulling out of Acadia Street onto East 1st Street. This creates very dangerous conditions and is just begging for accidents to happen. I am requesting that posts be installed at the corner of this intersection on East 1st street that will prevent cars from parking in this spot and increase the visibility of incoming traffic at this location. Thank you!,POINT (-71.030041394999955 42.338222957000028),-71.030041394999955,42.338222957000028
{142546B7-480D-48D4-A8D6-44A19335D887},7/26/2022 20:30:58.034,,7/26/2022 20:30:58.034,,7/26/2022 20:28:00.000,walks,,runlightssigns,,Drivers often do not stop when people are getting on/off the Green Line E Branch on South Huntington Ave and Huntington Ave. ,POINT (-71.111961777999966 42.331671770000071),-71.111961777999966,42.331671770000071
{B1B1FA8E-5E7C-4FF7-9601-338E4D4B586F},8/1/2022 15:57:39.710,,8/1/2022 15:57:39.710,,8/1/2022 15:55:00.000,drives,,other,Illegal U turns,Even thought is not a place to make a left turn people make u-turns causing traffic backup,POINT (-71.09181966899996 42.309777609000037),-71.091819668999960,42.309777609000037
{A6113A94-A671-4E93-B608-E127AB56C37C},8/1/2022 15:59:14.357,,8/1/2022 15:59:14.357,,8/1/2022 15:57:00.000,drives,,other,signage wrong,There are two signs that say right turn must turn right but there is not longer a turning lane... it mostly thru traffic,POINT (-71.098116214999948 42.315751460000058),-71.098116214999948,42.315751460000058
{A75272A0-4C9B-450E-9AAF-EFE0D6154774},8/20/2022 16:32:49.827,,8/20/2022 16:32:49.827,,8/20/2022 16:25:00.000,drives,,yieldturn,,"There is the intersection at Arborway and Centre St. In the Fenway/Kenmore/Copley direction of Arborway there are 2 lanes: The right lane to Fenway/Kenmore and the left lane to Centre St heading to West Roxbury. When drivers on the left lane run that green light, instead of legally turning left onto Centre St, they will immediately shift to the right lane heading to Fenway WITHOUT even yielding to traffic already on the right lane. When I was on the right lane, one driver from the left lane stupidly got too close to me and was trying to cut me off! He could've caused an accident. There needs to be cameras that capture license plates for traffic violations on the Centre St-Arborway rotary.",POINT (-71.120868219999977 42.309039883000025),-71.120868219999977,42.309039883000025
{95134591-6DF6-4AE8-A730-D2DED8076512},8/20/2022 16:39:04.204,,8/20/2022 16:39:04.204,,8/20/2022 16:34:00.000,drives,,doublepark,,I see lots of double parking on Blue Hill Ave from Mattapan Square to Grove Hall and it is infuriating. It happens 24/7 without any regulation. I am tired of changing lanes every 5 minutes.,POINT (-71.092575999999951 42.279889000000026),-71.092575999999951,42.279889000000026
{FABF7A75-6E30-425C-9652-85D77702C89C},8/24/2022 17:18:40.556,,8/24/2022 17:18:40.556,,8/24/2022 17:16:00.000,drives,,yieldgoing,,not sure if it was intension or accidental or experimental but changing the traffic signal to not give the left turn only lane a head start was brilliant!!  cars can no longer use the left turn only lane to bypass traffic!,POINT (-71.097212309999975 42.327704464000078),-71.097212309999975,42.327704464000078
{F5921318-DDC3-4024-A090-00EB637A4FA5},8/24/2022 17:20:26.440,,8/24/2022 17:20:26.440,,8/24/2022 17:18:00.000,drives,,other,,far too many illegal uturns on this entire stretch of road... causes huge delays during peak hours,POINT (-71.092010839999944 42.309852511000031),-71.092010839999944,42.309852511000031
{F3744B9F-BF9F-4D66-8431-F02869B73547},8/24/2022 17:21:43.934,,8/24/2022 17:21:43.934,,8/24/2022 17:20:00.000,drives,,other,,far too many illegal uturns on this entire stretch of road... causes huge delays during peak hours.  many cars make illegal uturns to avoid the traffic light also.,POINT (-71.086799974999963 42.298610513000028),-71.086799974999963,42.298610513000028
{D041F045-DF63-49E6-BA32-0279D3C95556},8/29/2022 14:07:11.891,,8/29/2022 14:07:11.891,,8/29/2022 14:02:00.000,drives,,speeding,,"Many of the options apply to this location: people double partk; don't yield while going straight or turning, also speeding; it is hard to see due to large damaged cars being left on street, so there is low visibility; roadway surface needs maintenance; people speed coming off of Columbus Ave. and do not abide by Stop sign at turn.
My mode of transportation is both walking and driving.",POINT (-71.099418918999959 42.32123290800007),-71.099418918999959,42.321232908000070
{CD1EB0E0-B9B8-419B-928E-E8166018D02E},8/31/2022 12:58:59.713,,8/31/2022 12:58:59.713,,8/31/2022 12:50:00.000,walks,,speeding,,"Drivers tend to speed when they enter to the Boynton street, but right at the corner there is a playground. We had multiple accidents and close calls at the pedestrian crossing as cars make a hard turn and speed up from McBride St going into the Boynton St. I think additional signage like 'slow' and 'playground' before getting to the corner might be helpful. Ideally a signage with light by the pedestrian crossing. 
Thanks,

Arda",POINT (-71.111804259999985 42.305389283000068),-71.111804259999985,42.305389283000068
{BC7C97CE-9338-494D-A0D2-F4CA5FCCC3BD},8/31/2022 13:16:48.874,,8/31/2022 13:16:48.874,,8/31/2022 12:59:00.000,drives,,visibility,,"SW corridor bike path crosses many streets. Some of these crossings can be very dangerous as past accidents and close calls show. Bikers feel deceptively safe as they are in a 'bike path' and want to keep their momentum at these crossings, but drivers often are not very aware of this. My suggestion is to have a green bike lane at the crossing running along with the pedestrian crossing and large bike signages to get drivers' attention. 
Here is a specific example from McBride/Call St crossing in JP, where I get very nervous while I am biking on SW or driving on McBride because of low visibility. 

Thanks,

Arda
",POINT (-71.110728445999939 42.306137706000072),-71.110728445999939,42.306137706000072
{7F6CA1CB-BBE9-470E-A100-04B92F54E525},8/31/2022 17:37:28.773,,8/31/2022 17:37:28.773,,8/31/2022 17:29:00.000,bikes,,yieldgoing,,"SW corridor bike path crosses many streets. Some of these crossings can be very dangerous as past accidents and close calls show. Bikers feel deceptively safe as they are in a 'bike path' and want to keep their momentum at these crossings, but drivers often are not very aware of this. My suggestion is to have a green bike lane at the crossing running along with the pedestrian crossing and large bike signages to get drivers' attention.
Here is a specific example from SW path crossing over New Minton St, where cars are often not yielding for bikes as there is no stop sign and limited visibility. Green bike lane would be very useful here. There is a bike signage on both ways but one is hidden under the branches of a tree. 

Thanks,

Arda
",POINT (-71.105506506999973 42.314687129000049),-71.105506506999973,42.314687129000049
{4F8F6CBA-26D5-40FA-8BAD-2ACEECF9ACED},8/31/2022 23:23:31.145,,8/31/2022 23:23:31.145,,8/31/2022 23:21:00.000,bikes,,visibility,,"I bike along the SW Corridor each day with two kids and this intersection makes me nervous.  It is a three way stop sign for cars, and they are often watching for each other rather than bikers.  In addition, many cars roll through the stop sign without stopping.",POINT (-71.109059951999939 42.30740004300003),-71.109059951999939,42.307400043000030
{0EFE203B-A5C0-44BB-8DE5-3D78A6F87AE0},9/7/2022 14:12:13.317,,9/7/2022 14:12:13.317,,9/7/2022 14:11:00.000,walks,,yieldgoing,,Feels unsafe to cross the street. Vehicles do not yield to pedestrians waiting to cross and there is a vertical curve.,POINT (-71.062609661999943 42.291895088000047),-71.062609661999943,42.291895088000047
{F4EDF077-52E6-4094-A9B2-B28A1C95D5ED},9/7/2022 14:13:53.724,,9/7/2022 14:13:53.724,,9/7/2022 14:13:00.000,walks,,yieldgoing,,Vehicles traveling along vertical curve do not yield to pedestrians waiting to cross the street. It is especially concerning during winter when pedestrians are walking home from MBTA station in the dark. ,POINT (-71.057244672999957 42.293125334000081),-71.057244672999957,42.293125334000081
{C49219BD-03D7-4234-BBDF-F538054BBD4E},9/7/2022 14:16:08.709,,9/7/2022 14:16:08.709,,9/7/2022 14:15:00.000,bikes,,bikefacility,,,POINT (-71.056486372999984 42.294501930000081),-71.056486372999984,42.294501930000081
{88A764DB-2309-4922-9833-1FF1CE051CA2},9/7/2022 14:19:53.756,,9/7/2022 14:19:53.756,,9/7/2022 14:19:00.000,walks,,sidewalk,,,POINT (-71.059252396999966 42.299890477000076),-71.059252396999966,42.299890477000076
{253A75B7-ECDB-4FAB-92FB-342D7D48B778},9/7/2022 14:21:06.990,,9/7/2022 14:21:06.990,,9/7/2022 14:21:00.000,bikes,,bikefacility,,,POINT (-71.049228673999949 42.283397204000039),-71.049228673999949,42.283397204000039
{1558ECD1-A4B1-43DC-A125-B5BBC93D9EA5},9/7/2022 14:22:05.331,,9/7/2022 14:22:05.331,,9/7/2022 14:21:00.000,bikes,,bikefacility,,,POINT (-71.047093260999986 42.282850777000078),-71.047093260999986,42.282850777000078
{76726189-2DA0-41EF-BC83-F1F59F495378},9/7/2022 14:23:13.815,,9/7/2022 14:23:13.815,,9/7/2022 14:22:00.000,bikes,,bikefacility,,,POINT (-71.05516814799995 42.28143719600007),-71.055168147999950,42.281437196000070
